#name	#KEGG Compound ID	G1_Z_1	G1_Z_2	G1_Z_3	G1_Z_4	G1_Z_5	G1_Z_6	G2_Z_1	G2_Z_2	G2_Z_3	G2_Z_4	G2_Z_5	G2_Z_6	G3_Z_1	G3_Z_2	G3_Z_3	G3_Z_4	G3_Z_5	G3_Z_6
Isophorone	C14743	328.6013648	191.6824972	205.7002827	250.3392742	241.6990432	158.7979935	643.4093734	603.3969151	497.9071133	605.4441799	919.0792978	471.4215955	2272.177226	3094.989217	3023.56045	2728.00383	2304.14757	2754.689133
9(S)-HPODE	C14827	26.13783817	24.42395045	26.8929272	25.01128812	26.39000463	34.48972654	132.985431	110.9868287	106.9165168	116.6856411	103.1426489	103.4395453	393.2344329	441.4111856	415.0033577	403.4468658	453.7678844	361.1348546
"9,10,13-TriHOME"	C14835	381.0164613	393.758034	420.4377025	382.0094039	394.9324164	403.0501986	131.6003589	111.8460974	165.0830807	125.0102203	135.561036	120.789754	472.9073618	579.8409667	653.6917716	571.3195022	569.1154417	418.9758198
LG 100268	C15640	544.5325662	683.4261918	551.8038392	623.0515862	732.8950345	633.0933832	438.4251995	550.2681843	622.7357471	757.609494	780.7666379	730.9338017	0	2.73710976	1.325408844	3.390110057	0.450536084	0.433395718
Nodularin	C15713	304.7363577	316.1996705	298.3965561	274.9979752	293.8156366	295.6713323	0	0	0	0	2.203120581	1.44665289	0	0	0	0	0	0
4-(Glutamylamino) butanoate	C15767	5.52717313	6.88240083	2.650211855	1.245724883	1.664074357	2.736557502	16.71433617	11.93106674	17.72868458	9.48543105	16.59079468	19.34031703	126.5827675	118.701067	116.488107	194.1960415	75.67918179	130.3976181
3-Dehydroteasterone	C15792	361.7681948	369.7613627	409.1950338	361.85392	402.3510533	397.5199674	152.8964309	138.2232252	146.0174326	160.6604339	170.9120673	156.7261485	676.1176241	758.3038025	734.3056663	679.3276922	586.4536581	588.5344088
6alpha-hydroxy-castasterone	C15803	181.4252289	180.3376139	192.0137207	188.3440261	200.4402835	222.6748008	849.0647844	786.183018	760.4854135	783.325262	760.611552	765.0312985	2724.955994	2715.800574	2515.648003	2655.539115	2384.789238	2943.004144
Rimorphin	C16135	51.05506379	60.79808379	55.27334668	43.15362284	55.77534662	54.97505076	0	0	0	0	0	0	0	0	0	0	0	0
Pelargonidin 3-sophoroside	C16305	50.51275326	56.60793422	74.38249691	58.0118709	54.86053725	68.04227007	0	0	6.048219165	3.021797942	9.400783954	10.53465203	7.946946475	0	0	0	0	3.081670558
Traumatic Acid	C16308	371.0470855	401.9518028	415.9095877	347.486231	384.2353759	418.8704752	63.81850551	62.69004711	86.17876025	81.84913548	80.53795438	73.96545148	268.0834993	308.7939009	334.8967366	349.9516581	267.1747216	343.6611804
9-Oxo-nonanoic acid	C16322	26.88145706	26.67864134	23.02342369	24.53367343	25.87284173	22.22459117	0	0	0.491001188	0	0.607206149	0	0.487717196	2.371971879	4.252792093	3.996986505	0	1.35008443
"(3Z,6Z)-3,6-Nonadienal"	C16323	0.896957902	0.83665282	2.003686057	3.446078504	2.931864211	4.455071089	175.7462263	206.77518	215.6865016	232.5934089	168.2408156	182.5343194	589.620352	740.1566	692.2979546	664.5305313	567.8270385	718.4494167
17-Hydroxylinolenic acid	C16346	0	0	0	0	0	0	385.4836176	140.2194457	29.06573168	24.8296583	51.95893235	7.542104843	81.22832524	50.59993295	43.39655753	35.9696473	19025.56878	6.613222145
Isopentenyl adenosine	C16427	56.23297685	30.68673709	44.36069757	41.62612357	58.16830359	28.74509878	228.1775866	253.4940145	152.723557	224.7492329	225.0584634	223.7354223	503.1973091	800.8491385	828.9246425	554.6722486	787.8731115	663.3813078
APC	C16542	130.7205111	113.1452383	132.7458112	123.9545105	130.7589795	123.9995053	15.10916415	9.483835892	18.49697777	18.96261762	43.6801196	17.67091332	0	0	0	0	0	0
2-Hydroxyfelbamate	C16582	197.8322603	167.87537	244.4654761	187.8963214	229.0077274	239.8759774	320.3595547	386.6497005	356.2560226	424.9983373	427.6018931	371.2775197	0	0	0	0	0	0
"5-Phenyl-1,3-oxazinane-2,4-dione"	C16596	8.498538663	8.438131049	11.92041568	7.915768038	13.15601393	11.75945831	17.40674843	17.55003287	15.2511687	22.54798517	22.63576758	19.2869568	117.2603586	101.3399048	99.44586463	90.80603535	21.68820937	77.98003319
3-Hydroxycarbamazepine	C16602	1.170347801	2.343279766	0.824100126	1.116965055	0	0	14.24223368	26.45242725	7.369669292	14.87539563	10.16760815	7.581571101	0	0	0	0	0	0
Isoniazid alpha-ketoglutaric acid	C16625	111.3089519	108.6235603	112.4642475	119.0688869	110.26579	122.4016885	38.90756478	42.55090851	11.58172812	35.61202943	11.61214567	7.501113723	0	0	8.379760577	16.51650769	0	4.164484763
5'-Deoxy-5-fluorocytidine	C16635	48.82777503	45.10527136	50.86731667	47.1174929	44.12208457	43.589891	60.34363536	19.93864584	54.64775581	82.23682043	62.19382045	81.62287508	52.18017263	49.54772141	35.96135664	30.86097227	24.55234392	32.54370638
2-n-Propyl-4-oxopentanoic acid	C16655	73.34122942	67.16076745	85.65501472	90.81589791	69.68620852	62.98120848	37.22236877	35.4304741	43.56889421	48.02794486	54.96888348	54.76882838	59.01912117	33.6221123	29.3420448	41.13735087	24.19446493	108.0018162
9-cis retinol	C16682	94.8654156	57.19807691	105.2345261	136.8119839	93.3736484	60.55190125	226.9174321	289.5146081	179.9782248	406.1738104	272.3039765	232.3679821	469.8746174	962.5000859	2627.322254	2564.236473	1536.010126	1941.311637
Spergualin	C16747	22.36677718	31.07170442	31.93891717	27.65513148	24.15614734	28.77117727	0	0	0	0	0	0	0	0	0	0	0	0
S-Allyl-L-cysteine	C16759	71.46632	73.16200066	65.85613788	69.00013824	72.76929876	66.60832557	0	0	0	1.627750104	0	0	5.722667672	1.946292479	1.893417317	2.959864266	0	1.454424436
Citrinin	C16765	17.57175327	24.67149346	6.635266048	7.753171448	6.834648538	6.6872776	72.87894082	165.309622	130.2828766	99.00716384	135.2693366	110.8368189	25.7683878	11.50752597	26.36919396	9.839508309	34.26358825	16.67247789
1-Deoxynojirimycin	C16843	243.4233928	289.405761	310.2048016	320.8095627	304.5953558	360.1873435	640.1567247	754.5791099	2159.019198	2129.920503	2156.538264	2398.613305	807.067135	649.1716511	635.0388704	706.1743641	745.0255289	676.0827464
